"","V1","V2","V3","V4","V5","V6"
"1",0,0,7578.19109598981,150593.539478339,613140.545412911,771312.27598724
"2",0,0.01,7577.80501414593,150327.980934282,615337.281758122,773243.06770655
"3",0,0.02,7577.41829715966,150062.451803889,617533.400276387,775173.270377435
"4",0,0.03,7577.03094427534,149796.952224701,619728.901098502,777102.884267478
"5",0,0.04,7576.64295473822,149531.48233461,621923.784360121,779031.909649469
"6",0,0.05,7576.25432779464,149266.042271864,624118.050201779,780960.346801438
"7",0,0.06,7575.865062692,149000.632175065,626311.698768913,782888.19600667
"8",0,0.07,7575.4751586787,148735.25218317,628504.730211892,784815.457553741
"9",0,0.08,7575.08461500425,148469.902435488,630697.144686046,786742.131736538
"10",0,0.09,7574.69343091923,148204.583071685,632888.942351682,788668.218854286
"11",0,0.1,7574.30160567534,147939.29423178,635080.123374133,790593.719211588
"12",0,0.11,7573.90913852536,147674.036056147,637270.687923759,792518.633118431
"13",0,0.12,7573.51602872328,147408.808685515,639460.636175986,794442.960890224
"14",0,0.13,7573.12227552415,147143.612260967,641649.968311344,796366.702847835
"15",0,0.14,7572.72787818421,146878.446923942,643838.684515471,798289.859317597
"16",0,0.15,7572.33283596093,146613.312816233,646026.784979164,800212.430631358
"17",0,0.16,7571.9371481129,146348.210079987,648214.269898386,802134.417126486
"18",0,0.17,7571.54081389999,146083.138857708,650401.139474308,804055.819145916
"19",0,0.18,7571.14383258322,145818.099292253,652587.393913335,805976.637038171
"20",0,0.19,7570.74620342492,145553.091526835,654773.033427124,807896.871157384
"21",0,0.2,7570.34792568864,145288.115705021,656958.058232627,809816.521863337
"22",0,0.21,7569.94899863921,145023.171970735,659142.468552107,811735.589521481
"23",0,0.22,7569.54942154277,144758.260468253,661326.264613171,813654.074502966
"24",0,0.23,7569.14919366675,144493.381342208,663509.446648799,815571.977184674
"25",0,0.24,7568.7483142799,144228.534737586,665692.014897374,817489.29794924
"26",0,0.25,7568.34678265229,143963.72079973,667873.96960271,819406.037185093
"27",0,0.26,7567.9445980554,143698.939674338,670055.311014074,821322.195286467
"28",0,0.27,7567.54175976202,143434.19150746,672236.039386223,823237.772653445
"29",0,0.28,7567.13826704638,143169.476445503,674416.154979437,825152.769691986
"30",0,0.29,7566.73411918409,142904.794635227,676595.658059535,827067.186813946
"31",0,0.3,7566.32931545218,142640.14622375,678774.548897916,828981.024437118
"32",0,0.31,7565.92385512913,142375.53135854,680952.827771581,830894.28298525
"33",0,0.32,7565.51773749487,142110.950187422,683130.49496317,832806.962888088
"34",0,0.33,7565.11096183082,141846.402858577,685307.550760985,834719.064581392
"35",0,0.34,7564.70352741986,141581.889520536,687483.995459023,836630.588506979
"36",0,0.35,7564.29543354639,141317.410322187,689659.829357011,838541.535112744
"37",0,0.36,7563.88667949637,141052.96541277,691835.052760426,840451.904852693
"38",0,0.37,7563.47726455724,140788.554941883,694009.665980531,842361.698186971
"39",0,0.38,7563.06718801803,140524.179059474,696183.669334405,844270.915581897
"40",0,0.39,7562.6564491694,140259.837915845,698357.063144981,846179.557509995
"41",0,0.4,7562.24504730353,139995.531661654,700529.84774106,848087.624450017
"42",0,0.41,7561.83298171424,139731.260447908,702702.02345736,849995.116886982
"43",0,0.42,7561.42025169699,139467.024425971,704873.590634533,851902.035312201
"44",0,0.43,7561.00685654891,139202.82374756,707044.549619205,853808.380223315
"45",0,0.44,7560.59279556874,138938.658564743,709214.900764007,855714.152124318
"46",0,0.45,7560.17806805696,138674.52902994,711384.644427597,857619.351525594
"47",0,0.46,7559.76267331576,138410.435295925,713553.780974708,859523.978943949
"48",0,0.47,7559.34661064899,138146.377515825,715722.310776163,861428.034902637
"49",0,0.48,7558.92987936233,137882.355843118,717890.234208919,863331.519931398
"50",0,0.49,7558.51247876315,137618.370431632,720057.551656093,865234.434566488
"51",0,0.5,7558.09440816061,137354.421435549,722224.263506996,867136.779350706
"52",0,0.51,7557.67566686575,137090.509009402,724390.370157169,869038.554833437
"53",0,0.52,7557.2562541913,136826.633308075,726555.872008406,870939.761570672
"54",0,0.53,7556.83616945193,136562.794486801,728720.769468798,872840.400125051
"55",0,0.54,7556.41541196411,136298.992701166,730885.062952759,874740.471065889
"56",0,0.55,7555.99398104622,136035.228107105,733048.752881058,876639.97496921
"57",0,0.56,7555.57187601853,135771.500860904,735211.83968086,878538.912417783
