"","d1","d2","d3"
"D1",3080.85366026038,7396.83066940604,7567.98351710827
"D2",140682.132562081,71025.8949412918,149039.515291643
"D3",787065.30928407,753433.210264003,150981.729373857
"",930828.295506411,831855.9358747,307589.228182609
