"","i1","i2","i3"
"1",511568.361609146,1548429.72118111,1808493.93227403
"2",1270014.46262403,732012.592864383,1799111.06048318
"3",549504.655166104,599515.504639902,135071.842996531
"4",2331087.47939928,2860399.78579123,3728559.23287092
